,review,prediction
163,"['far', 'kit', 'worked', 'perfectly', 'making', 'self', 'audition', 'tape', 'make', 'great', 'lighting', 'facetime', 'call', 'complaint', 'would', 'phone', 'socket', 'hold', 'phone', 'vertically', 'allow', 'option', 'place', 'horizontally', 'used', 'white', 'clear', 'filter', 'far', 'complaint']",4
177,"['thank', 'great', 'product', 'bought', 'antennal', 'amazon', 'rating', 'antenna', 'high']",4
183,"['really', 'good', 'product', 'worked', 'device', 'however', 'nothing', 'p', 'reason', 'bought', 'begin', 'good', 'product', 'work']",4
193,"['ordered', 'granddaughter', 'use', 'school', 'work', 'freat']",4
197,"['bought', 'two', 'fine', 'one', 'rubber', 'ring', 'top', 'develop', 'budge', 'wave', 'make', 'good', 'connection', 'problematic', 'tried', 'smooth', 'ring', 'take', 'emailed', 'support', 'yootech', 'net', 'via', 'amazon', 'link', 'case', 'email', 'bounced', 'buyer', 'beware', 'added', 'support', 'reply', 'via', 'amazon', 'turn', 'seems', 'attachment', 'even', 'pdf', 'order', 'invoice', 'cause', 'email', 'failure', 'using', 'amazon', 'direct', 'sending', 'replacement', 'unit', 'adding', 'star']",4
216,"['great', 'cord', 'price', 'backup', 'macbook', 'cord', 'side']",4
217,"['say', 'almost', 'high', 'quality', 'gopro', 'cant', 'see', 'much', 'difference', 'build', 'quality', 'video', 'quality', 'amazing', 'choice', 'money', 'spend']",4
224,['encanto'],4
227,"['product', 'suck', 'wish', 'never', 'bought', 'set', 'return', 'date', 'not', 'send', 'notification', 'motion', 'tried', 'changing', 'setting', 'several', 'time', 'no', 'luck', 'camera', 'pretty', 'clear', 'still', 'picture', 'second', 'delay', 'movement', 'pixelated']",4
229,"['no', 'complaint', 'product', 'sound', 'quality', 'amazing', 'connects', 'samsung', 'phone', 'no', 'problem', 'color', 'like']",4
241,['nice'],4
259,"['review', 'appears', 'needed', 'part', 'extended', 'warranty', 'activation', 'process', 'charging', 'earbuds', 'verify', 'case', 'function', 'wireless', 'charger', 'advertised', 'also', 'usb', 'micro', 'usb', 'charging', 'cable', 'wireless', 'charger', 'packaging', 'tactile', 'quality', 'product', 'top', 'notch', 'could', 'apple', 'unit', 'leave', 'proper', 'possibly', 'higher', 'review', 'actually', 'use', 'earbuds']",4
277,"['switching', 'basic', 'cable', 'internet', 'decided', 'hulu', 'live', 'local', 'station', 'many', 'cable', 'station', 'basic', 'cable', 'even', 'though', 'tv', 'year', 'old', 'o', 'support', 'hulu', 'live', 'researched', 'best', 'streaming', 'device', 'need', 'fire', 'tv', 'stick', 'affordable', 'set', 'super', 'easy', 'love', 'simple', 'remote', 'remote', 'much', 'better', 'original', 'remote', 'purchased', 'two', 'one', 'tv', 'basic', 'smart', 'tv', 'satisfied']",4
297,"['got', 'order', 'today', 'look', 'great', 'one', 'thing', 'missing', 'apparently', 'there', 'supposed', 'remote', 'switch', 'color', 'never', 'got', 'remote', 'even', 'went', 'though', 'box', 'see', 'missed', 'no', 'remote']",4
311,"['work', 'really', 'good', 'phone']",4
315,"['first', 'drone', 'ever', 'imagine', 'asking', 'picture', 'great', 'super', 'easy', 'fly']",4
334,"['led', 'light', 'bright', 'let', 'know', 'charging', 'correctly', 'not', 'place', 'phone', 'quite', 'right', 'blink', 'time', 'let', 'know', 'scoot', 'little', 'bit', 'light', 'turn', 'second', 'sleep', 'without', 'light', 'charge', 'fast', 'much', 'easier', 'sticking', 'cord', 'phone']",4
345,"['insurance', 'company', 'gave', 'free', 'pretty', 'simple', 'setup', 'older', 'vehicle', 'excited', 'however', 'noticed', 'following']",4
369,"['satisfied', 'antenna', 'trouble', 'getting', 'scan', 'mode', 'tv', 'everything', 'worked', 'great', 'using', 'purchase', 'get', 'rid', 'cable', 'box', 'hope', 'replace', 'another', 'one', 'great', 'product']",4
373,"['thought', 'big', 'photography', 'light', 'hard', 'use', 'one', 'incredibly', 'easy', 'light', 'took', 'couple', 'minute', 'set', 'mounting', 'phone', 'extremely', 'easy', 'picture', 'much', 'better', 'expected', 'dimmer', 'easy', 'use', 'super', 'happy', 'light', 'love', 'learning']",4
394,"['look', 'no', 'headphone', 'daily', 'use', 'made', 'audio', 'engineer', 'bill', 'cowin', 'sound', 'worthy', 'name', 'bass', 'deep', 'punchy', 'vocal', 'also', 'crystal', 'clear', 'listen', 'music', 'almost', 'daily', 'work', 'headphone', 'suited', 'need', 'bluetooth', 'option', 'hookup', 'direct', 'handsfree', 'voice', 'calling', 'crystal', 'clear', 'no', 'issue', 'need', 'headphone']",4
408,"['mount', 'easy', 'install', 'easy', 'hang', 'tv', 'work', 'great', 'wish', 'would', 'included', 'concrete', 'anchor', 'packaging', 'ended', 'buy']",4
422,"['installation', 'rapide', 'plus', 'facile', 'installer', 'que', 'prise', 'belkin', 'fonctionne', 'sans', 'probleme', 'depuis', 'semaines']",4
452,"['great', 'camera', 'kept', 'outside', 'seattle', 'winter', 'screwed', 'tree', 'far', 'router', 'saw', 'load', 'nighttime', 'creature', 'walking', 'brought', 'used', 'watching', 'dog', 'video', 'quality', 'day', 'night', 'great', 'much', 'better', 'indoor', 'cam', 'returned', 'good', 'great', 'product']",4
453,"['purchased', 'wanted', 'action', 'camera', 'want', 'commit', 'big', 'price', 'since', 'use', 'family', 'vacation', 'no', 'issue', 'performed', 'kind', 'environment', 'totally', 'worth', 'format', 'sd', 'card', 'first', 'use', 'done', 'good', 'go']",4
458,"['bought', 'mother', 'life', 'another', 'state', 'one', 'mother', 'day', 'got', 'one', 'ready', 'question', 'echo', 'dot', 'house', 'use', 'mainly', 'music', 'say', 'show', 'blew', 'mind', 'setup', 'simple', 'sound', 'fantastic', 'voice', 'recognition', 'great', 'no', 'complaint', 'annoyed', 'thing', 'try', 'alexa', 'easily', 'turned', 'choose']",4
464,"['forced', 'cut', 'cable', 'sad', 'lose', 'favorite', 'show', 'month', 'complained', 'friend', 'told', 'could', 'get', 'antenna', 'get', 'basic', 'channel', 'found', 'one', 'best', 'review', 'affordable', 'easy', 'setup', 'picture', 'look', 'no', 'different', 'cable', 'also', 'get', 'way', 'moer', 'channel', 'basic', 'channel', 'expecting', 'awesome', 'alternative', 'cable']",4
471,"['must', 'system']",4
481,"['first', 'non', 'car', 'connected', 'bluetooth', 'device', 'mute', 'speaker', 'ipad']",4
499,"['not', 'allow', 'control', 'volume', 'tv', 'still', 'need', 'remote', 'allow', 'u', 'convert', 'older', 'tv', 'allow', 'u', 'utilize', 'hulu', 'tv', 'service']",4
505,"['adore', 'ce', 'gadget', 'full', 'cool', 'avec', 'le', 'jeux', 'de', 'lumiere', 'et', 'ce', 'produit', 'fonctionne', 'merveille']",4
506,"['love', 'thing']",4
514,"['despite', 'star', 'like', 'fire', 'stick', 'find', 'easy', 'use', 'trouble', 'freezing', 'lot', 'lately', 'one', 'tv', 'apps', 'regular', 'programming', 'screen', 'randomly', 'freeze', 'green', 'circle', 'appears', 'rotates', 'trying', 'refresh', 'causing', 'restart', 'stick', 'youtube', 'tv', 'app', 'voice', 'track', 'get', 'way', 'track', 'restart', 'stick', 'pretty', 'annoying', 'tiresome', 'noticed', 'seems', 'worse', 'tv', 'extended', 'period', 'time', 'since', 'currently', 'working', 'home', 'sometimes', 'tv', 'day', 'stick', 'apparently', 'like', 'someone', 'suggested', 'stick', 'enough', 'power', 'run', 'apps', 'know', 'truth', 'frustrating']",4
519,"['terrible', 'time', 'month', 'mic', 'stopped', 'working', 'not', 'happyafter', 'leaving', 'review', 'company', 'contacted', 'u', 'replaced', 'headset', 'impressed', 'company']",4
522,"['pretty', 'good', 'tripod', 'lightweight', 'flimsy', 'plastic', 'bit', 'feel', 'good', 'dropping', 'away', 'breaking', 'apart', 'definitely', 'not', 'ideal', 'move', 'around', 'much', 'like', 'rough', 'terrain', 'not', 'trusting', 'thing', 'hold', 'nice', 'camera', 'without', 'le', 'foot', 'away', 'stiff', 'breeze', 'likely', 'knock']",4
529,"['received', 'hdtv', 'antenna', 'today', 'super', 'easy', 'set', 'without', 'placing', 'near', 'window', 'received', 'tv', 'channel', 'quality', 'image', 'hd', 'quality', 'believe', 'eye', 'decided', 'place', 'spare', 'room', 'room', 'window', 'place', 'near', 'window', 'yet', 'still', 'able', 'get', 'hd', 'tv', 'believe', 'waited', 'long', 'get', 'one', 'antenna', 'hear', 'friend', 'antenna', 'far', 'better', 'tell', 'antenna', 'placed', 'window', 'happy', 'product', 'quality', 'picture', 'easy', 'setup']",4
531,"['awesome', 'quality']",4
536,"['sure', 'fine', 'everyday', 'use', 'bought', 'specifically', 'use', 'raspberry', 'pi', 'read', 'benchmark', 'review', 'first', 'card', 'slowest', 'card', 'reviewed', 'using', 'low', 'power', 'netbook', 'extra', 'storage', 'well', 'one', 'two', 'bought', 'anyway', 'snapped', 'one', 'half', 'trying', 'get', 'rpi', 'used', 'poor', 'case', 'design']",4
547,"['tenia', 'dudas', 'de', 'comprarlo', 'por', 'comentarios', 'de', 'algunos', 'compradores', 'por', 'marcas', 'de', 'uso', 'rayaduras', 'pero', 'todo', 'llego', 'bien', 'sellos', 'no', 'violados', 'sistema', 'sin', 'marcas', 'rayaduras']",4
548,"['using', 'month', 'got', 'invitation', 'price', 'feel', 'worth', 'work', 'well', 'jetta', 'nice', 'hand', 'free', 'safety', 'factor', 'hard', 'price', 'like', 'well', 'thought', 'vent', 'holder', 'wire', 'holder', 'wire', 'not', 'ideal', 'amazon', 'designer', 'nice', 'job', 'minimizing', 'impact']",4
592,"['good', 'reliable']",4
607,"['simply', 'work', 'doa', 'click', 'no', 'action', 'light', 'led', 'incandescent', 'nothing', 'app', 'see', 'cycle', 'nada']",4
616,"['wifi', 'bridge', 'foot', 'wifi', 'le', 'ft', 'deadbolt', 'yet', 'always', 'take', 'reconnect', 'often', 'issue', 'connecting', 'recalibrate', 'holding', 'package', 'grocery', 'almost', 'never', 'automatically', 'open', 'arrive', 'home']",4
666,"['love', 'put', 'unit', 'din', 'wife', 'changed', 'life', 'ask', 'question', 'day', 'long', 'like', 'genius', 'much', 'fun']",4
673,"['owned', 'bose', 'soundlink', 'speaker', 'since', 'march', 'quit', 'working', 'not', 'charge', 'many', 'bose', 'product', 'disappointed', 'product']",4
685,"['lo', 'use', 'para', 'prender', 'la', 'caldera', 'del', 'jacuzi']",4
687,"['easy', 'install', 'working', 'linked', 'alexa', 'minute', 'requires', 'tp', 'link', 'kasa', 'mobile', 'app']",4
694,"['second', 'roku', 'purchased', 'love']",4
708,"['work', 'great', 'no', 'complaint']",4
720,"['love', 'get', 'sent', 'straight', 'email']",4
723,"['never', 'disappointed', 'bose', 'amazing', 'sound', 'bit', 'distortion', 'volume', 'high', 'depending', 'kind', 'music', 'playing', 'love', 'feel', 'look', 'speaker', 'easy', 'bluetooth', 'pairing', 'careful', 'coral', 'red', 'color', 'orange', 'peachy', 'exchanging', 'different', 'color', 'love', 'speaker', 'top', 'contender', 'class', 'compared', 'portable', 'wireless', 'speaker', 'great', 'buy', 'get', 'today']",4
746,"['plastica', 'molto', 'leggera', 'se', 'fosse', 'costata', 'la', 'meta', 'sarebbe', 'adeguata', 'al', 'prezzo', 'il', 'telecomando', 'pensavo', 'fosse', 'un', 'giocattolo']",4
764,"['sure', 'product', 'great', 'need', 'figure', 'connect', 'headphone']",4
766,"['found', 'recently', 'become', 'addicted', 'alexa', 'even', 'not', 'home', 'car', 'find', 'asking', 'alexa', 'instruction', 'finally', 'able', 'grab', 'baby', 'give', 'star', 'not', 'new', 'bound', 'bug', 'one', 'encountered', 'trouble', 'able', 'hook', 'car', 'stereo', 'instead', 'using', 'jbl', 'clip', 'working', 'perfectly', 'happy', 'purchase', 'run', 'problem', 'others', 'hears', 'responds', 'clearly']",4
782,"['far', 'away', 'best', 'charting', 'product', 'ever', 'purchased', 'product', 'ever', 'not', 'saying', 'better', 'product', 'reliable', 'hate', 'thing', 'could', 'better', 'would', 'heavier', 'material', 'stickier', 'surface', 'grab', 'product', 'flame', 'best', 'yet', 'money', 'no', 'regret']",4
786,"['work', 'great', 'amazing', 'quality']",4
813,"['work', 'great', 'easy', 'install']",4
836,"['bit', 'pricey', 'hand', 'best', 'controller', 'switch']",4
840,"['worked', 'instantly']",4
844,"['installed', 'august', 'wi', 'fi', 'bridge', 'close', 'lock', 'work', 'without', 'issue', 'set', 'easy', 'used', 'two', 'month', 'single', 'hick', 'yet', 'great', 'product']",4
857,"['work', 'great', 'basic', 'use']",4
860,"['veratile', 'many', 'different', 'function']",4
874,"['torn', 'rate', 'product', 'trouble', 'getting', 'set', 'microphone', 'worked', 'however', 'customer', 'service', 'amazing', 'replace', 'broken', 'product', 'nice', 'rating', 'would', 'star', 'unfortunately', 'not', 'sure', 'product', 'quality', 'seems', 'varied']",4
894,"['july', 'st', 'week', 'great', 'wireless', 'headphone', 'unit', 'sturdy', 'built', 'well', 'comfortable', 'wear', 'highly', 'adjustable', 'soft', 'cushy', 'pad', 'fit', 'quite', 'snug', 'around', 'ear', 'bluetooth', 'range', 'actually', 'good', 'no', 'problem', 'walking', 'around', 'house', 'strong', 'connection', 'connect', 'flawlessly', 'samsung', 'reconnect', 'soon', 'turned', 'nfc', 'also', 'work', 'well', 'establish', 'connection', 'almost', 'instantaneously', 'phone', 'call', 'easily', 'picked', 'dropped', 'play', 'button', 'active', 'noise', 'cancelling', 'decent', 'microphone', 'pretty', 'clear', 'friend', 'able', 'hear', 'talk', 'quite', 'well', 'button', 'unit', 'somewhat', 'shakey', 'still', 'feel', 'sturdy', 'arent', 'going', 'fall', 'pouch', 'come', 'awesome', 'protect', 'headphone', 'scratch']",4
896,"['bought', 'wife', 'make', 'tutorial', 'used', 'even', 'great', 'light', 'youtube', 'video', 'help', 'work', 'car']",4
913,"['absolutely', 'love', 'keyboard', 'searched', 'searched', 'good', 'keyboard', 'light', 'green', 'highly', 'recommend', 'seller']",4
924,"['cut', 'cord', 'november', 'tried', 'various', 'ota', 'antenna', 'success', 'first', 'gen', 'fire', 'stick', 'first', 'gen', 'roku', 'many', 'year', 'ago', 'ok', 'newest', 'generation', 'technology', 'fire', 'stick', 'voice', 'remote', 'fantastic', 'easy', 'set', 'quick', 'tune', 'favorite', 'show', 'movie', 'complaint', 'one', 'echo', 'learn', 'say', 'command', 'understands', 'small', 'learning', 'curve', 'minor', 'annoyance', 'not', 'negative', 'use', 'product', 'amazon', 'prime', 'video', 'option', 'hulu', 'fact', 'hulu', 'gotten', 'good', 'cancelled', 'netflix', 'year', 'really', 'happy', 'fire', 'stick', 'recommend', 'item', 'well', 'mission', 'usb', 'power', 'cable', 'accompany', 'eliminates', 'yet', 'another', 'ac', 'adapter']",4
941,"['doesnt', 'work', 'good', 'not', 'matter', 'wifi', 'signal', 'sometime', 'go']",4
943,"['even', 'series', 'already', 'released', 'superb', 'cpu', 'price']",4
944,"['sound', 'went', 'one', 'ear', 'not', 'even', 'year', 'later', 'could', 'spent', 'le', 'money', 'better', 'quality']",4
951,"['know', 'nothing', 'noise', 'canceling', 'headset', 'seem', 'nice', 'job', 'budget', 'like', 'sound', 'good', 'not', 'much', 'bass', 'person', 'nice', 'balance', 'adjust']",4
957,"['since', 'installing', 'bad', 'boy', 'rog', 'crosshair', 'vii', 'thing', 'flying', 'computer', 'shaking', 'back', 'forth', 'data', 'rocking', 'play', 'everything', 'max', 'nvidia', 'ti', 'crush', 'music', 'video', 'processing', 'gaming', 'joy', 'going', 'go', 'intel', 'give', 'bank', 'fewer', 'buck', 'no', 'regret', 'awsome', 'processor']",4
961,"['little', 'hesitant', 'buy', 'considering', 'price', 'low', 'never', 'heard', 'company', 'glad', 'pulled', 'trigger', 'awesome', 'little', 'speaker', 'work', 'noisy', 'kitchen', 'dishwasher', 'running', 'pot', 'pan', 'hitting', 'steel', 'table', 'thing', 'loud', 'enough', 'audible', 'anywhere', 'room', 'sound', 'quality', 'excellent', 'range', 'bluetooth', 'let', 'keep', 'phone', 'pocket', 'walk', 'pretty', 'much', 'anywhere', 'building', 'without', 'disconnecting', 'staff', 'us', 'collectively', 'compatible', 'everybody', 'smartphones', 'charge', 'pretty', 'quickly', 'good', 'battery', 'life', 'even', 'high', 'volume', 'purposely', 'submerge', 'fairly', 'water', 'resistant']",4
965,"['update', 'good', 'people', 'cambridge', 'soundworks', 'read', 'review', 'think', 'made', 'sad', 'got', 'touch', 'talk', 'poor', 'ka', 'put', 'oontz', 'speaker', 'like', 'shocked', 'short', 'life', 'service', 'believe', 'product', 'promised', 'send', 'new', 'box', 'oontz', 'thought', 'suuuuurrre', 'hold', 'breath', 'wait', 'show', 'imagine', 'happy', 'surprise', 'discovered', 'new', 'oontz', 'promised', 'day', 'sound', 'little', 'speaker', 'amazing', 'connectivity', 'dummy', 'proof', 'able', 'connect', 'phone', 'within', 'second', 'unboxing', 'imagine', 'must', 'quality', 'item', 'company', 'care', 'enough', 'replace', 'purely', 'disgruntled', 'customer', 'review', 'basically', 'get', 'speaker', 'need', 'great', 'small', 'speaker', 'big', 'sound', 'trust', 'cambridge', 'soundworks', 'take', 'care']",4
970,"['fantastic', 'price', 'little', 'awe', 'cheap', 'handled', 'much', 'lower', 'quality', 'tripod', 'sell', 'lot']",4
979,['needed'],4
1022,"['know', 'think', 'sooner', 'finally', 'put', 'alexa', 'integrated', 'light', 'switch', 'laundry', 'room', 'could', 'turn', 'light', 'hand', 'full', 'several', 'choose', 'pleased', 'chose', 'one', 'easy', 'install', 'no', 'issue', 'whatsoever', 'far', 'thinking', 'installing', 'one', 'ceiling', 'fan', 'without', 'remote']",4
1072,"['inexpensive', 'yet', 'come', 'handle', 'carrying', 'bag', 'great', 'need', 'tripod', 'occasionally']",4
1079,"['work', 'perfect']",4
1087,"['sound', 'quality', 'great', 'look', 'pretty', 'fit', 'nice', 'different', 'size', 'option', 'earbuds', 'low', 'battery', 'life', 'low', 'given', 'price', 'fantastic', 'definitely', 'go']",4
1098,"['started', 'amazon', 'fire', 'tv', 'worked', 'great', 'one', 'need', 'lattest', 'greatest', 'bought', 'fire', 'stick', 'worked', 'great', 'saw', 'version', 'must', 'admit', 'buy', 'bought', 'say', 'enough', 'design', 'quality', 'apple', 'like', 'packaging', 'work', 'described', 'alexa', 'much', 'powerful', 'extra', 'feature', 'suce', 'volume', 'control', 'due', 'increase', 'memory', 'work', 'much', 'faster', 'one', 'reason', 'buy', 'amazon', 'quality', 'spec', 'design', 'defective', 'return', 'due', 'vendor', 'not', 'packaging', 'mirror', 'properly', 'got', 'several', 'smaller', 'piece', 'fast', 'no', 'question', 'return']",4
1111,"['motion', 'detection', 'always', 'work', 'battery', 'last', 'week']",4
1118,"['bought', 'low', 'expectation', 'inexpensive', 'wireless', 'charger', 'fantastic', 'use', 'note', 'charge', 'much', 'faster', 'expected', 'sweet', 'spot', 'large', 'easy', 'find', 'put', 'phone', 'little', 'disk', 'no', 'worry', 'wound', 'buying', 'one', 'wife', 'one', 'office']",4
1125,"['needed', 'get', 'amazon', 'prime', 'video', 'since', 'sony', 'no', 'longer', 'access']",4
1129,"['perfectly', 'serviceable', 'paper']",4
1177,"['needed', 'keep', 'controller', 'charged', 'switch', 'one', 'die', 'thing', 'make', 'easy', 'especially', 'middle', 'match']",4
1197,"['antenna', 'advertises', 'mile', 'range', 'completely', 'bogus', 'live', 'mile', 'tv', 'tower', 'even', 'get', 'solid', 'signal', 'vhf', 'channel', 'constantly', 'go', 'warning', 'pop', 'saying', 'poor', 'signal', 'placed', 'antenna', 'several', 'different', 'area', 'trying', 'get', 'good', 'signal', 'impossible', 'antenna', 'weak', 'advertised', 'mile', 'laughable', 'change', 'description', 'accurately', 'show', 'real', 'range', 'seems', 'maximum', 'mile']",4
1205,"['not', 'much', 'say', 'required', 'august', 'smart', 'lock', 'integrate', 'alexa', 'no', 'reason', 'touch', 'set']",4
1223,['good'],4
1226,"['happy', 'purchase', 'live', 'area', 'lot', 'hill', 'still', 'receive', 'good', 'signal', 'antenna']",4
1230,"['second', 'pair', 'first', 'set', 'started', 'malfunctioning', 'month', 'purchase', 'prior', 'set', 'suddenly', 'stopped', 'disconnecting', 'charging', 'put', 'case', 'sound', 'quality', 'great', 'used', 'mowing', 'lawn', 'cancel', 'sound', 'stay', 'ear', 'ease', 'part', 'tend', 'start', 'slip', 'working', 'mic', 'seemed', 'work', 'well', 'no', 'complaint', 'others', 'conference', 'call', 'work']",4
1235,"['code', 'went', 'no', 'problem']",4
1238,"['two', 'word', 'say', 'buy', 'not', 'disappointed', 'searched', 'good', 'week', 'good', 'set', 'wireless', 'ear', 'bud', 'certainly', 'glad', 'came', 'upon', 'mainly', 'focused', 'airpod', 'style', 'clone', 'none', 'everything', 'looking', 'spent', 'atleast', 'good', 'hour', 'week', 'looking', 'review', 'different', 'ear', 'bud', 'even', 'looking', 'youtube', 'review', 'narrowed', 'anker', 'soundcore', 'neos', 'size', 'wanted', 'battery', 'life', 'sound', 'quality', 'review', 'seemed', 'pretty', 'snug', 'fit', 'good', 'pricing', 'wireless', 'charging', 'definitely', 'bummer', 'glad', 'go', 'saw', 'related', 'product', 'first', 'kind', 'laughed', 'thinking', 'would', 'joke', 'boy', 'wrong', 'every', 'review', 'read', 'said', 'nothing', 'good', 'thing', 'similar', 'soundcores', 'lot', 'way', 'wireless', 'charging', 'sold', 'even', 'coupon', 'easily', 'made', 'decision', 'paid', 'like', 'shipping', 'purchased', 'friday', 'received', 'today']",4
1241,"['love', 'disney', 'plus', 'really', 'need']",4
1264,"['update', 'posted', 'review', 'sent', 'old', 'speaker', 'amazon', 'refund', 'next', 'day', 'received', 'email', 'oontz', 'apologizing', 'experience', 'asking', 'shipping', 'address', 'could', 'send', 'replacement', 'explained', 'already', 'returned', 'defective', 'speaker', 'received', 'refund', 'nothing', 'return', 'sent', 'replacement', 'speaker', 'free', 'charge', 'incredible', 'would', 'buy', 'full', 'confidence', 'really', 'value', 'customer']",4
1300,"['not', 'even', 'fit', 'phone', 'even', 'return', 'disappointed']",4
1348,"['great', 'addition', 'rung', 'lineup', 'happy', 'night', 'vision', 'range', 'camera']",4
1352,"['excellent', 'tripod', 'really', 'good', 'job', 'well', 'designed']",4
1358,"['arrived', 'time', 'expected']",4
1366,"['used', 'long', 'enough', 'seems', 'job', 'far']",4
1372,"['iphone', 'xmax']",4
1376,"['cable', 'not', 'allow', 'extend', 'display', 'across', 'laptop', 'screen', 'dell', 'monitor', 'allow', 'one', 'used', 'duplicated', 'useless', 'high', 'speed', 'hdmi', 'cable', 'allow', 'display', 'extended', 'soon', 'connect', 'different', 'cable', 'view', 'screen', 'one', 'desktop', 'issue', 'cable', 'specifically', 'need', 'drive', 'roughly', 'two', 'display', 'buy', 'cable']",4
1406,"['much', 'better', 'one', 'ordered', 'rue', 'one', 'stable', 'flat', 'long', 'put', 'flat', 'surface', 'charge', 'last', 'time', 'received', 'price', 'one', 'come', 'usb', 'connector', 'different', 'connector']",4
1408,"['impressed', 'reasonably', 'priced', 'charger', 'easy', 'use', 'charged', 'iphone', 'quickly', 'efficiently', 'great', 'purchase', 'would', 'recommend', 'anyone']",4
1419,"['speaker', 'great', 'able', 'charge', 'difficult', 'since', 'bought', 'december', 'gone', 'three', 'charging', 'cord', 'still', 'charge', 'work', 'first', 'charge', 'next', 'time', 'go', 'charge', 'cord', 'work', 'want', 'money', 'back']",4
1455,"['love', 'roku', 'youtube', 'tv', 'wish', 'came', 'remote', 'could', 'program', 'turn', 'tv', 'control', 'volume']",4
1464,"['originally', 'issue', 'camera', 'poor', 'sound', 'quality', 'case', 'camera', 'sat', 'last', 'six', 'month', 'not', 'used', 'customer', 'service', 'representative', 'akaso', 'jack', 'emailed', 'offering', 'refund', 'help', 'camera', 'come', 'find', 'not', 'look', 'box', 'camera', 'frame', 'allows', 'use', 'camera', 'without', 'waterproof', 'case', 'happy', 'say', 'camera', 'sound', 'quality', 'exceptional', 'also', 'satisfied', 'level', 'customer', 'service', 'received', 'akaso']",4
1468,"['thought', 'bad', 'remote', 'seeing', 'many', 'post', 'hard', 'get', 'battery', 'compartment', 'open', 'remote', 'realize', 'bad', 'design', 'flaw', 'could', 'not', 'even', 'evaluate', 'product', 'get', 'battery', 'really', 'wanted', 'firestick', 'hope', 'amazon', 'put', 'new', 'remote', 'work', 'gladly', 'try', 'amazon', 'hope', 'listening', 'let', 'u', 'know']",4
1504,"['light', 'come', 'adjustable', 'stand', 'adjustable', 'brightness', 'attachment', 'iphone', 'use', 'record', 'church', 'video', 'announcement', 'light', 'perfect', 'minimizes', 'shadow']",4
1513,['fantastic'],4
